Country,Birth Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Mobile Phone Usage,Life Expectancy Average,Net Tourism Impact,Dependency Ratio,Urban_Rate,CO2_per_capita
Algeria,0.019802627296179712,3.295836866004329,10.203555107263542,24.726774608568434,0.0344014267173324,4.110873864173311,5.480638923341991,0.03343477608623739,0.0,0.09531017980432487,0.0,4.248086912096081,-0.6377173709980397,0.6899413981632209,0.5713239076821363,0.6591030949821056
Angola,0.04879016416943201,3.295836866004329,8.922658299524402,22.934787151598087,0.03343477608623739,3.1354942159291497,5.480638923341991,0.10466782725564819,0.0,0.2078798829012179,0.0,3.881417612930858,-1.4572460745297278,1.0228017792870892,0.35871125840411594,0.5570828962900205
Benin,0.04210117601863539,3.295836866004329,7.592870287844818,21.58155548172534,0.04210117601863539,2.772588722239781,5.480638923341991,0.08617769624105233,0.0,0.11332868530700317,0.0,4.024713528555347,0.4317824094125484,0.9668161437216612,0.4327174843932085,0.46901552133751423
Botswana,0.02664193094642118,3.295836866004329,7.515889085215125,22.479106487735386,0.045928931888399804,5.030437921392435,5.480638923341991,0.05259245011917058,0.0,0.14410034397375687,0.09531017980432487,3.941157459490134,0.08261576513719149,0.7639839604235016,0.6237392883842058,0.5815060861846196
Burkina Faso,0.044973365642731154,3.295836866004329,9.57073837671504,21.68298347736439,0.04974209189481407,2.5649493574615367,5.480638923341991,0.0916671885258238,0.0,0.11332868530700317,0.0,3.941157459490134,-0.26570315558808133,1.0066615614812373,0.2117200582886703,0.42717229019313574
Burundi,0.04114194333117518,3.295836866004329,9.57073837671504,20.584562311300598,0.061095099359810875,2.0794415416798357,5.480638923341991,0.0880108773227133,0.0,0.1466943791508035,0.0,3.8916120081680186,-1.397025455645359,1.0882212746075042,0.10544362637406618,0.3634026684205685
Cameroon,0.04018178963283183,3.295836866004329,8.75004942158424,22.951920987938426,0.04305948946044697,3.295836866004329,5.480638923341991,0.0889262091944015,0.0,0.1988508587451652,0.0,3.970113882572851,-0.6019950074779068,0.9830249490430243,0.475415149787511,0.4909189770169713
Central African Republic,0.03825871211709034,3.295836866004329,9.57073837671504,20.633888389928533,0.04210117601863539,2.4849066497880004,5.480638923341991,0.10466782725564819,0.0,0.1988508587451652,0.0,3.881417612930858,-1.8870694793354303,0.9119553886314435,0.4441917710732,0.3703382282343749
Chad,0.04974209189481407,3.295836866004329,9.57073837671504,21.049008006749364,0.061095099359810875,2.3978952727983707,5.480638923341991,0.10074990310014305,0.0,0.1988508587451652,0.0,3.881417612930858,-1.3862943075484644,1.083882529184455,0.25807168857775364,0.3248920815562051
Comoros,0.03825871211709034,3.295836866004329,9.57073837671504,19.123282513693997,0.0344014267173324,2.639057329615259,5.480638923341991,0.07045846364856141,0.0,0.11332868530700317,0.4054651081081644,4.068697915028325,-3.414442543938492,0.8566948866907125,0.39509758795357225,0.3371405860200583
